,Country Name,Country Code,Year,"Agriculture, value added (% of GDP)",Consumer price index (2010 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),GDP growth (annual %),ICT goods imports (% total goods imports),"Industry, value added (% of GDP)","Inflation, consumer prices (annual %)","Literacy rate, adult total (% of people ages 15 and above)","Manufacturing, value added (annual % growth)","Population, total",Rural population,"Self-employed, total (% of total employment) (modeled ILO estimate)",Tax revenue (% of GDP),"Total employment, total (ages 15+)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
107,Nigeria,NGA,2016,20.98310971,183.8530818,36.29899979,-1.61686895,3.93029187,18.17313173,15.69685447,88.9255150236842,-4.317635569,185989640.0,95444304.0,81.49500275,17.515715373641306,53303018.0,7.059999943,90545336.0,18.50499916
108,Togo,TGO,2000,35.14112169,68.12435844,41.0019989,-0.783479606,2.913394231,18.31936326,1.890047839,53.17760086,26.22950776,4970367.0,3334768.0,82.4280014,17.515715373641306,2227424.0,1.88499999,1635599.0,17.5720005
109,Togo,TGO,2002,38.19171067,74.45285075,42.81600189,-0.922151022,3.095739849,18.39279074,3.074074074,88.9255150236842,6.917529125,5251472.0,3476002.0,83.22899628,17.515715373641306,2365978.0,1.878000021,1775470.0,16.77099991
110,Togo,TGO,2004,36.23331063,70.02528229,41.42900085,2.119065316,1.962685053,17.14674946,0.391843843,88.9255150236842,-0.884473951,5534598.0,3612764.0,82.36799622,15.31041268,2505568.0,1.871000051,1921834.0,17.63199997
111,Togo,TGO,2006,35.8837052,76.7973235,41.22800064,4.052412542,7.939214514544554,18.42311541,2.226583649,56.88837051,10.51217383,5837792.0,3756678.0,82.23400116,14.81058695,2652448.0,1.863999963,2081114.0,17.76600075
112,Togo,TGO,2008,40.70809912,95.03035142,42.57500076,2.225480232,3.246873003,18.17362917,8.681967213,88.9255150236842,8.085481384,6161796.0,3907380.0,83.0510025,14.90892341,2769645.0,1.860999942,2254416.0,16.9489994
113,Togo,TGO,2010,31.03244507,100.0,38.35599899,3.99567877,3.958767104,16.17420952,1.834169331,88.9255150236842,4.51180238,6502952.0,4062199.0,80.25700378,15.70321284,2884440.0,1.860000014,2440753.0,19.74300003
114,Togo,TGO,2012,42.59993034,106.2933252,41.23199844,4.820343516,1.852121151,18.4352293,2.630773937,88.9255150236842,15.04094996,6859482.0,4215426.0,82.71499634,16.60054684,3021348.0,1.853999972,2644056.0,17.28499985
115,Togo,TGO,2014,41.96838168,108.3764209,40.18600082,5.871726319,1.931259148,17.26906812,0.186716067,88.9255150236842,-6.990753845,7228915.0,4367783.0,82.06199646,17.515715373641306,3194878.0,1.845999956,2861132.0,17.93799973
116,Togo,TGO,2016,41.38426078,111.2674093,38.96099854,5.398146189,3.08737071,16.98904433,0.854424699,88.9255150236842,2.102553709,7606374.0,4516056.0,81.44999695,21.93498858,3374667.0,1.842000008,3090318.0,18.54999924
